,neighborhood,crash,fallen_occupant,other,overturning,run_over
0,Aguas Frías,9,3,6,1,2
1,Aldea Pablo VI,25,12,6,2,19
2,Alejandro Echavarría,130,23,38,11,38
3,Alejandría,408,18,23,9,14
4,Alfonso López,714,198,201,55,148
5,Altamira,207,34,40,12,23
6,Altavista,25,5,4,2,6
7,Altavista Sector Central,31,9,19,3,12
8,Altos del Poblado,237,26,30,16,19
9,Andalucía,141,27,29,14,61
10,Antonio Nariño,12,4,3,2,0
11,Aranjuez,183,42,39,13,46
12,Asomadera No.1,404,41,52,22,29
13,Asomadera No.2,686,46,67,32,14
14,Asomadera No.3,21,4,11,4,1
15,Astorga,231,4,13,3,9
16,Aures No.1,204,107,102,28,78
17,Aures No.2,173,115,105,34,76
18,Avenida 80 Calle 65,49,8,10,1,6
19,B. Cerro El Volador,546,75,79,22,45
20,Barrio Colombia,927,66,71,22,84
21,Barrio Colón,417,33,21,8,20
22,Barrio Nuevo La Loma,110,31,26,8,23
23,Barrios de Jesús,163,41,43,14,53
24,Barro Blanco,1,0,0,0,0
25,Belalcázar,346,36,65,15,32
26,Belen La Mota,481,53,68,34,55
27,Belencito,46,8,17,3,5
28,Bello Horizonte,104,18,17,4,20
29,Belén,948,55,99,27,124
30,Belén La Gloria,30,4,10,0,2
31,Belén Rincón,11,0,2,0,1
32,Berlín,480,107,108,26,173
33,Bermejal-Los Álamos,135,32,44,14,57
34,Betania,2,2,1,0,4
35,Blanquizal,34,8,7,4,11
36,Bomboná No.2,211,39,47,22,39
37,Bosques de San Pablo,302,81,62,10,34
38,Boyacá,436,88,82,34,46
39,Brasilia,141,36,46,12,62
40,Buenos Aires,784,79,119,36,90
41,Calasanz,1141,127,152,33,137
42,Calle 109 # 52-20,189,52,36,13,107
43,Calle Nueva,1308,92,110,37,138
44,Campo Alegre,17,4,3,0,5
45,Campo Amor,4030,356,496,166,263
46,Campo Valdés No.1,695,149,152,48,216
47,Campo Valdés No.2,352,99,107,30,147
48,Cancha la Maracaná,349,158,153,33,162
49,Caribe,2333,119,227,62,149
50,Carlos Castro Saavedra,230,79,56,16,49
51,Carlos E. Restrepo,1200,128,150,44,65
52,Carpinelo,26,11,15,6,33
53,Castilla,563,174,204,44,158
54,Castropol,342,32,34,10,13
55,Cataluña,187,28,59,20,35
56,Centro Administrativo,634,29,29,14,27
57,Cerro Nutibara,586,48,74,31,29
58,Corazón de Jesús,2607,181,244,67,302
59,Corregimiento Palmitas,7,0,1,1,1
60,Cristo Rey,115,6,13,7,7
61,Cuarta Brigada,929,65,94,20,82
62,Cucaracho,253,118,129,26,36
63,Diego Echavarría,159,18,27,10,1
64,Doce de Octubre No.1,203,134,97,21,114
65,Doce de Octubre No.2,148,41,56,12,54
66,Ecoparque Cerro El Volador,431,76,82,26,22
67,Eduardo Santos,34,10,17,4,6
68,El Castillo,184,7,11,7,9
69,El Compromiso,6,3,0,2,3
70,El Corazón,28,7,8,4,18
71,El Diamante,766,391,361,48,204
72,El Diamante No.2,225,6,13,4,9
73,El Llano,8,1,2,2,2
74,El Llano SE,1,0,0,0,0
75,El Manzanillo,4,0,3,0,0
76,El Nogal-Los Almendros,672,33,57,13,49
77,El Patio,1,0,0,0,0
78,El Pesebre,44,4,11,3,5
79,El Picacho,3,4,0,0,0
80,El Pinal,313,67,75,22,128
81,El Placer,7,1,1,1,0
82,El Plan,86,81,83,34,36
83,El Poblado,730,38,75,19,49
84,El Pomar,130,36,41,7,19
85,El Progreso,77,9,10,2,5
86,El Raizal,186,68,63,27,91
87,El Rincón,479,98,146,50,90
88,El Salado,30,14,16,7,19
89,El Salvador,237,54,85,19,54
90,El Tesoro,507,32,28,24,13
91,El Triunfo,26,17,21,2,18
92,El Velódromo,102,3,8,3,8
93,Enciso,460,76,78,39,105
94,Estadio,499,72,79,14,65
95,Ferrini,581,137,163,49,76
